Time,Lat,Lon,Depth,Mw,Mo,FocalMechanism,Width,Length,AspectRatio,Strike,Dip,Rake,RuptureVelocity,RuptureTime,StressDrop,Heterogeneity,Young,Poisson
734970,2.3484,93.0725,23,8.65,1.2251029e+22,StikeSlip,41.0120283094563,254.303977948875,6.20071692211915,108.34,86.98,169.94,1.46,6.18,60,348.789770280882,118716750130.843,0.284680397883331
733297,-4.517,101.382,30,8.44,6.0391478e+21,Reverse,201.877649788437,259.473841135276,1.28530246615808,320,15,114,2.21,8.11,5,1.04857719940542,172047389584.776,0.279614601032487
731025,-16.26,-73.64,33,8.38,4.8607351e+21,Reverse,193.088651306348,226.329288173673,1.17215220388373,309.99,17.53,62.6,2.05,6.8,2.2,1.27792609280379,144570329489.601,0.276787991275869
728571,43.71,147.33,48,8.32,4.0375501e+21,StikeSlip,122.468606619479,150.152037740321,1.22604512197038,158,41,24.04,2.21,4.6,14,8.1699864460825,172314616165.572,0.27952031615098
732996,46.51,153.39,15.25,8.29,3.5498175e+21,Reverse,97.9613284406483,280.860385650963,2.86705366415205,220,16,92.49,2.01,7.54,2.5,4.89004328415661,89667553770.957,0.278335750856255
731849,41.81,143.91,27,8.24,3.0654916e+21,Reverse,163.870788515775,200.150469537439,1.22139199640314,240,17,132.36,2.02,4.85,4.8,0.885119614880079,156740235788.199,0.278122707337802
736223,-31.5952,-71.6728,29,8.23,2.9107715e+21,Reverse,117.037511654275,188.22270375687,1.60822544068498,6,19,105,1.47,5.55,3.3,3.40630734404381,95922313088.8535,0.30549814513867
736946,15.0286,-93.807,70,8.19,2.5437013e+21,Normal,71.2842837153096,127.469805855563,1.78818947476057,315,73,264,1.97,4.74,14,7.09157643750325,172821445288.877,0.279487037997594
733055,46.24,154.52,7.5,8.18,2.4261536e+21,Normal,50.6646981354625,162.081744091745,3.19910608484011,220,39,254,2.41,4.27,9.9,4.68682985888359,127342160646.548,0.290461394436428
729072,-0.946,136.941,20,8.14,2.1736949e+21,Reverse,118.527845586494,195.75055346432,1.65151532532897,109,17,69,2.38,5.34,4.6,2.52670029977564,112128329443.814,0.276563761596477
729839,-62.88,149.53,10,8.08,1.7240405e+21,Oblique,17.8166208794688,236.348162328981,13.265599797397,99,74,-18,3.4,4.69,52,46.1604107901849,103729694258.504,0.290953144683549
732304,-49.31,161.35,10,8.08,1.7100321e+21,StikeSlip,23.4113828363656,166.45363630916,7.10994465694706,163,69,16.31,1.89,4.01,25,67.5652325212493,81983872909.9857,0.308988920283755
730806,-3.98,152.17,33,8.07,1.6563562e+21,StikeSlip,33.0632140058815,152.178720167419,4.60265962469192,328.02,65,3.19,1.76,5.37,20,6.80570491645855,172821445288.877,0.279487037997594
734045,-15.6,-172.3,18,8.06,1.6319659e+21,Normal,34.2947661665109,128.872341876102,3.75778453337135,342.45,57.06,290.16,1.54,3.62,70,20.2276728229273,141506841562.232,0.280830177952414
735271,-10.7377,165.1378,28.7,8.03,1.4506814e+21,Reverse,125.866658929437,212.726611270861,1.69009500276097,308,18,62,1.56,4.81,2.9,0.615512390542824,163313471943.793,0.279812683215698
732800,-20.19,-174.12,65,7.95,1.1232917e+21,Reverse,85.4207176143148,82.4059482489018,0.964706812941738,221,22.04,122.98,2.01,3.64,7.8,0.351612371391497,172821445288.877,0.279487037997594
735773,51.83,178.75,109,7.91,9.7612555e+20,Normal,66.5610398049385,84.7060742153634,1.27260743617588,309,84,243,1.49,3.78,13,1.6629702130503,172821445288.877,0.279487037997594
735555,-60.2961,-46.362,12,7.89,8.9435565e+20,StikeSlip,44.1940152834853,281.68745699498,6.37388241797172,100,50,0,2.25,6.4,7.2,1.01212549631795,129139221548.996,0.287958962183203
736717,-6.2669,155.1189,136,7.88,8.7886363e+20,Reverse,43.5319450161821,49.4506575256942,1.13596250999839,135,55,100,2,2.42,26,0.374959422512138,172821445288.877,0.279487037997594
737083,56.046,-149.073,25,7.88,8.8156317e+20,StikeSlip,18.6608528703869,174.444678799174,9.34816216658574,258,69,4,2.13,3.91,20,4.77988482820875,96751961900.4622,0.298078871121607
728996,44.62,149.32,24,7.86,8.2000641e+20,Reverse,161.86040292786,153.1934755685,0.946454307523118,227,12,95,2.44,5.17,1.2,0.228433202429185,103368800645.002,0.286463062594098
729186,51.56,-177.63,28,7.86,8.1305019e+20,Reverse,134.906480730713,156.815671267265,1.16240280242937,265,15,84,1.62,4.76,0.7,0.188607581099422,79076699280.1595,0.295408168583132
730655,-13.8,97.45,10,7.86,8.0369288e+20,StikeSlip,9.77143025075435,91.4573194174664,9.35966558328613,161.3,63.48,354.5,1.99,2.63,104,69.240521219448,85973085807.3462,0.296852747419203
733297,-2.62,100.84,35,7.86,8.1238186e+20,Reverse,65.0940539935193,111.441875201939,1.7120131312306,317.29,25,101.85,2.27,4.15,6.7,0.199426661222459,165482259183.01,0.278896650077159
730641,-4.72,102.09,41.2,7.84,7.6472875e+20,StikeSlip,50.9999681957453,114.966300947385,2.25424260082138,198.88,59,37.96,1.77,2.98,16,1.40530074147374,172821445288.877,0.279487037997594
731169,35.95,90.54,10,7.84,7.4493991e+20,StikeSlip,28.5146166342482,357.678866344732,12.5437024432982,94.41,72,348.41,3.51,12.41,13,3.18600378235268,86956447859.6556,0.244466293832987
733385,-26,-177.51,152.5,7.83,7.2292271e+20,StikeSlip,90.7832951371964,106.888452342768,1.17740221018892,12,9,37.76,2.49,2.83,6.6,0.0748099020506405,172821445288.877,0.279487037997594
735170,52.742,-132.131,15,7.83,7.3267351e+20,Reverse,48.9882212292693,214.223636385747,4.3729621327372,323,30,120,1.86,3.97,4.6,1.68929666948111,97339325626.7932,0.26901342469068
736079,28.13,84.65,15,7.82,7.1023654e+20,Reverse,108.213271286893,125.253668168391,1.15747049025365,293,7,108,2.4,3.08,2.1,0.745301506434293,83508564010.143,0.242788753968348
736436,0.3482,-79.972,20,7.82,7.0633008e+20,Reverse,122.372261247957,146.082620686098,1.19375599663144,29,15,118,2.29,3.04,2.4,0.430972554337765,115086222619.087,0.273517035673407
729025,0.72,119.98,16,7.82,7.0023776e+20,Reverse,78.9937700998004,104.738350981681,1.32590647147686,53,7,54,2.61,2.65,3.9,0.611890979406823,98509950893.885,0.270167481648401
