MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres
734573.240546296,38.2963,142.498,19.7,9.1,0,3294,14,0.25320367446806
732307.040880208,3.4125,95.9012,26.1,9,0,2360,0,0.199499990418988
734196.273765394,-36.1485,-72.9327,28.1,8.8,0,1363,0,0.143299658912667
734970.360159722,2.2376,93.0144,26.3,8.6,0,477,1,-0.130462002252777
733297.465588773,-4.4637,101.3959,35.5,8.5,0,377,2,-0.141531123272542
732829.789617014,19.054,120.884,13,8.4,0,64,4,-0.820584591679892
731025.856357986,-16.303,-73.561,2.2,8.4,0,319,0,-0.122973882606598
729628.036935185,42.76,43.4,10.1,8.4,0,7,1,-1.78166652564952
732996.468223843,46.681,153.2106,12.2,8.3,0,965,2,0.448870655494571
731849.826473148,41.7488,143.8725,33,8.3,0,259,0,-0.12235689376797
728571.557612037,43.6597,147.3804,28,8.2,0,591,0,0.327038730846592
735690.990826157,-19.6193,-70.7877,17.1,8.1,0,377,0,0.222900507985686
734045.741800347,-15.5119,-171.9369,18.5,8.1,0,373,1,0.218267989588581
733133.861070718,-8.4468,157.0265,9.5,8.1,0,531,3,0.371653678861362
732304.624313426,-49.71,161.5761,10,8.1,0,46,0,-0.690683010538533
729728.693946759,42,45.03,12.2,8.1,0,8,1,-1.45035085522816
729072.249675579,-0.9394,136.9471,50.4,8.1,0,376,0,0.221747002707554
726611.454701852,-52.3711,160.642,10,8.1,0,51,0,-0.645870666122171
725269.55405162,18.5382,-102.3243,29.2,8.1,0,20,0,-1.05241084655613
733269.986787616,-13.3836,-76.5555,41.2,8,0,139,0,-0.119318134151456
732800.643518056,-20.1631,-174.1449,53.5,8,0,277,2,0.180146834658898
730806.204816667,-3.975,152.182,28,8,0,711,4,0.589536666324215
730350.043478704,40.816,30.622,6,8,0,25,15,-0.864392925733513
728870.216242708,-23.3033,-70.2052,42.6,8,0,161,0,-0.0555070583737014
736079.257947106,28.1302,84.7168,13.4,7.9,0,204,0,0.138405140834904
735271.050305324,-10.864,165.1418,23.8,7.9,0,720,6,0.686107469840274
733540.269444213,31.0636,103.3718,7.6,7.9,0,456,0,0.48773981607344
732723.770317824,9.624,121.95,2,7.9,0,36,1,-0.614922525823708
731523.925476042,63.6285,-147.6114,10.8,7.9,0,92,1,-0.20743719924544
730655.614041204,-13.798,97.424,10,7.9,0,19,0,-0.892471425638166
730641.686443981,-4.692,102.141,52.7,7.9,0,337,2,0.356404874280344
728941.64994537,19.1162,-104.2021,42.3,7.9,0,27,0,-0.739861262432008
728453.283853009,24.47,121.75,8,7.9,0,16,0,-0.96710504393507
736672.735259028,-10.676,161.3298,41,7.8,0,203,0,0.227378919136776
736647.460405903,-42.7245,173.0647,22,7.8,0,187,0,0.191724487760062
736436.99903912,0.3819,-79.9218,20.59,7.8,0,84,1,-0.155837832714556
736391.534584607,-4.9521,94.3299,24,7.8,0,19,0,-0.801363517823608
735555.378428935,-60.3783,-46.5876,7.9,7.8,0,186,12,0.189395825441479
735501.47903044,26.9109,65.5315,15.5,7.8,0,31,0,-0.588755424942164
735170.12786794,52.6777,-132.1724,7.4,7.8,0,103,0,-0.0672798940712651
734436.612756713,-3.5248,100.1042,20,7.8,0,127,0,0.0236866021795197
734234.927107986,2.3601,97.1113,33.4,7.8,0,29,1,-0.617719120877481
733969.390647685,-45.8339,166.6363,20.9,7.8,0,114,0,-0.0232122674399644
731902.279930324,51.1032,178.6421,27.1,7.8,0,143,0,0.0752189186886247
731169.393176042,35.927,90.587,11,7.8,0,41,0,-0.467333262056702
729839.133628125,-62.8257,149.6713,10,7.8,0,48,0,-0.39887588140085
729025.336916204,0.6842,119.9847,15.4,7.8,0,53,1,-0.355841249175648
728447.762233912,-10.4132,112.9264,38.9,7.8,0,242,0,0.303698247203994
726071.807819444,58.8045,-142.599,10,7.8,0,36,2,-0.52381461800915
