MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
734970.3601,2.33,93.06,20,8.6,1,65,0,-0.174535599851541,33.38,1.80250509839102e-15,734970,2.3484,93.0725,23,8.65,1.2251029e+22,48,330,108.34,86.98,169.94,1.46,6.18,60,118716750130.843,0.284680397883331
733297.4656,-4.44,101.37,34,8.5,3,99,0,0.107412704465366,32.54,1.92555232649424e-14,733297,-4.517,101.382,30,8.44,6.0391478e+21,320,352,320,15,114,2.21,8.11,5,172047389584.776,0.279614601032487
731025.8564,-16.26,-73.64,33,8.4,3,44,0,-0.145543347283785,33.84,5.98971787433113e-15,731025,-16.26,-73.64,33,8.38,4.8607351e+21,240,396,309.99,17.53,62.6,2.05,6.8,2.2,144570329489.601,0.276787991275869
728571.5576,43.71,147.33,33,8.3,3,76,0,0.191044034873031,33.8,2.67363169344603e-14,728571,43.71,147.33,48,8.32,4.0375501e+21,140,210,158,41,24.04,2.21,4.6,14,172314616165.572,0.27952031615098
731849.8265,41.81,143.91,27,8.3,3,62,0,0.102622132090494,35.72,1.65066758750485e-14,731849,41.81,143.91,27,8.24,3.0654916e+21,227.5,272,240,17,132.36,2.02,4.85,4.8,156740235788.199,0.278122707337802
736223.9545,-31.57,-71.67,22.4,8.3,3,74,0,0.179462162323216,33.86,2.46997380042816e-14,736223,-31.5952,-71.6728,29,8.23,2.9107715e+21,158.4,300,6,19,105,1.47,5.55,3.3,95922313088.8535,0.30549814513867
729072.2496,-0.95,137.03,33,8.2,3,24,0,-0.210331849333941,30.91,5.41610921751902e-15,729072,-0.946,136.941,20,8.14,2.1736949e+21,148.77,280,109,17,69,2.38,5.34,4.6,112128329443.814,0.276563761596477
729839.1336,-62.88,149.53,10,8.1,1,6,0,-0.713165374299691,0,0,729839,-62.88,149.53,10,8.08,1.7240405e+21,21.36,384,99,74,-18,3.4,4.69,52,103729694258.504,0.290953144683549
732304.6244,-49.31,161.35,10,8.1,1,5,0,-0.792346620347316,23,0,732304,-49.31,161.35,10,8.08,1.7100321e+21,25.14,245,163,69,16.31,1.89,4.01,25,81983872909.9857,0.308988920283755
734045.7418,-15.49,-172.1,18,8.1,2,69,0,0.347532466053921,27,2.64830612405763e-14,734045,-15.6,-172.3,18,8.06,1.6319659e+21,49.023906837653,180,342.45,57.06,290.16,1.54,3.62,70,141506841562.232,0.280830177952414
728870.2162,-23.36,-70.31,47,8,3,18,0,-0.136817653217817,35.39,8.91083266286159e-15,732800,-20.19,-174.12,65,7.95,1.1232917e+21,130,156,221,22.04,122.98,2.01,3.64,7.8,172821445288.877,0.279487037997594
728941.65,19.15,-104.22,49,8,3,7,0,-0.546992118306866,33.51,2.20565456960425e-15,730864,13.05,-88.66,60,7.7,4.6609855e+20,127.5,168,307.31,55.5,273.62,1.35,2.16,9.4,170476165141.61,0.279283990683892
730806.2048,-3.98,152.17,33,8,1,65,0,0.420823198321733,39,3.15494136074235e-14,730806,-3.98,152.17,33,8.07,1.6563562e+21,60,220,328.02,65,3.19,1.76,5.37,20,172821445288.877,0.279487037997594
728996.7508,44.62,149.32,22.1,7.9,3,19,0,-0.0141100910060823,27.94,5.25345472303244e-14,728996,44.62,149.32,24,7.86,8.2000641e+20,216,196,227,12,95,2.44,5.17,1.2,103368800645.002,0.286463062594098
729186.1692,51.56,-177.63,33,7.9,3,18,0,-0.0375911868556051,27.94,4.16005551513528e-14,729186,51.56,-177.63,28,7.86,8.1305019e+20,183.3,325,265,15,84,1.62,4.76,0.7,79076699280.1595,0.295408168583132
730655.614,-13.8,97.45,10,7.9,1,2,0,-0.99183369629493,34.6,0,730655,-13.8,97.45,10,7.86,8.0369288e+20,21,192,161.3,63.48,354.5,1.99,2.63,104,85973085807.3462,0.296852747419203
735271.0503,-10.8,165.11,24,7.9,3,90,0,0.661378817480414,35.88,5.93372022855878e-14,735271,-10.7377,165.1378,28.7,8.03,1.4506814e+21,143,260,308,18,62,1.56,4.81,2.9,163313471943.793,0.279812683215698
736079.2579,28.15,84.71,15,7.9,3,9,0,-0.338621182519586,30,5.54416364814578e-16,736079,28.13,84.65,15,7.82,7.1023654e+20,168,193.2,293,7,108,2.4,3.08,2.1,83508564010.143,0.242788753968348
728447.7622,-10.47,112.98,39,7.8,3,22,0,0.148785455225508,38.43,0,730641,-4.72,102.09,41.2,7.84,7.6472875e+20,67.2,189,198.88,59,37.96,1.77,2.98,16,172821445288.877,0.279487037997594
729729.477,54.84,162.04,33,7.8,3,23,0,0.168090610420894,24.74,2.78396004446921e-14,729729,54.841,162.035,34,7.75,5.5183332e+20,160,204,202,23,74,2.34,3.74,1.4,170842841250.234,0.279550711252613
731169.3932,35.95,90.54,10,7.8,1,5,0,-0.49466722126068,23.1,1.68533630656211e-15,731169,35.95,90.54,10,7.84,7.4493991e+20,36.64,432,94.41,72,348.41,3.51,12.41,13,86956447859.6556,0.244466293832987
