EVENT_ID, Time, Latitude, Longitude, Depth, Magnitude, MagnitudeType, BbEnergyMagnitude, BbRuptureDuration, BbStationCount, BbTotalEnergy, HfEnergyMagnitude, HfRuptureDuration, HfStationCount, HfTotalEnergy
1001377, 2000 08 09 22 56 03, -16.869, 174.337, 67.4, 6.4, Mw, 6.14, 35.0, 28, 3.6999998E13, 6.32, 35.0, 9, 1.39999995E13
1001722, 2000 06 25 06 34 47, 31.101, 131.237, 47.0, 6.0, Mw, 5.55, 46.0, 40, 4.7000002E12, 5.52, 46.0, 28, 8.6999997E11
1002694, 2001 01 13 17 33 34, 12.997, -88.729, 82.9, 7.6, MW, 7.88, 56.0, 38, 1.50000004E16, 7.54, 56.0, 34, 9.1999998E14
1011925, 2001 07 01 01 46 06, -4.303, 152.91, 29.3, 6.1, MW, 6.1, 39.0, 36, 3.19999999E13, 6.16, 39.0, 24, 7.8999999E12
1015466, 2000 08 12 10 26 16, -3.077, 136.136, 43.3, 6.0, Mw, 6.0, 61.0, 31, 2.1999999E13, 6.24, 61.0, 18, 9.9999998E12
1016306, 2000 07 20 18 39 19, 36.489, 140.937, 51.0, 6.0, Mw, 6.24, 57.0, 50, 5.2E13, 6.52, 57.0, 41, 2.69999994E13
1017498, 2001 01 15 05 52 15, -40.338, 78.33, 10.0, 6.4, MW, 6.26, 47.0, 27, 5.5000001E13, 6.37, 47.0, 11, 1.59999999E13
1018586, 2001 02 13 14 22 05, 13.699, -88.874, 7.6, 6.5, MW, 6.3, 56.0, 29, 6.2999998E13, 6.4, 56.0, 12, 1.80000003E13
1018874, 2000 07 21 01 53 36, 9.418, -85.324, 42.2, 6.4, Mw, 6.09, 36.0, 36, 3.00000005E13, 6.19, 36.0, 27, 8.8E12
1021272, 2001 02 13 19 28 30, -4.754, 102.478, 33.9, 7.2, MW, 7.02, 66.0, 56, 7.6000003E14, 7.13, 66.0, 48, 2.20000003E14
1022343, 2001 09 02 02 25 54, 0.908, 82.471, 13.1, 6.1, MW, 6.16, 61.0, 48, 3.9000002E13, 6.43, 61.0, 34, 1.99999997E13
1028102, 2001 08 02 23 41 06, 56.246, 163.77, 16.2, 6.3, MW, 6.31, 48.0, 58, 6.7000001E13, 6.51, 48.0, 46, 2.59999998E13
1030488, 2001 06 03 02 41 58, -29.681, -178.615, 188.2, 7.1, MW, 7.36, 38.0, 27, 2.50000007E15, 7.58, 38.0, 26, 1.09999998E15
1031801, 2001 01 16 13 25 01, -4.013, 101.669, 33.0, 6.0, mb, 6.63, 54.0, 54, 2.00000001E14, 6.91, 54.0, 44, 1.0E14
1031848, 2001 01 16 13 25 09, -4.071, 101.744, 28.0, 6.9, MW, 6.51, 46.0, 53, 1.30000003E14, 6.79, 46.0, 44, 7.0000002E13
1033031, 2001 07 03 13 10 46, 21.635, 142.988, 325.3, 6.5, MW, 6.73, 29.0, 41, 2.80000008E14, 7.13, 29.0, 38, 2.20000003E14
1036668, 2000 11 16 04 54 56, -3.975, 152.182, 28.0, 7.6, Mw, 7.88, 131.0, 45, 1.50000004E16, 7.85, 131.0, 45, 2.60000006E15
1038419, 2001 04 04 07 44 07, -5.266, 132.341, 10.0, 6.2, MW, 6.7, 61.0, 38, 2.49999997E14, 6.92, 61.0, 25, 1.10000001E14
1038770, 2001 07 04 07 06 30, -21.735, -176.727, 178.7, 6.5, MW, 6.47, 26.0, 28, 1.20000002E14, 6.79, 26.0, 19, 6.7999998E13
1039060, 2000 08 14 22 11 16, -9.37, 153.866, 10.0, 6.0, Mw, 5.86, 26.0, 34, 1.39999995E13, 6.02, 26.0, 20, 4.7999998E12
1039338, 2000 12 18 01 19 21, -21.154, -179.115, 617.7, 6.5, Mw, 6.79, 16.0, 19, 3.40000013E14, 7.16, 16.0, 19, 2.40000004E14
1039857, 2000 11 16 07 42 17, -5.22, 153.073, 34.2, 7.3, Mw, 7.37, 85.0, 38, 2.50000007E15, 7.6, 85.0, 17, 1.20000004E15
1041078, 2001 07 04 12 09 03, -17.191, -65.727, 33.0, 6.1, MW, 5.98, 37.0, 24, 2.09999993E13, 6.31, 37.0, 11, 1.29999999E13
1041157, 2000 08 15 04 30 08, -31.561, 179.744, 349.6, 6.6, Mw, 6.67, 39.0, 22, 2.29999995E14, 6.79, 39.0, 18, 7.0000002E13
1044622, 2001 02 16 05 59 09, -7.138, 117.487, 526.6, 6.1, MW, 6.16, 16.0, 41, 3.9000002E13, 6.69, 16.0, 31, 4.8999998E13
