MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
734970.360159722,2.2376,93.0144,26.3,8.6,0,1026,0,-0.253960236585191,30.97,9.78436071281122e-16,734970,2.3484,93.0725,23,8.65,1.2251029e+22,48,330,108.34,86.98,169.94,1.46,6.18,60,118716750130.843,0.284680397883331
733297.465588773,-4.4637,101.3959,35.5,8.5,0,989,0,-0.16587620433479,31.45,4.92721852615409e-15,733297,-4.517,101.382,30,8.44,6.0391478e+21,320,352,320,15,114,2.21,8.11,5,172047389584.776,0.279614601032487
732996.468223843,46.681,153.2106,12.2,8.3,0,1729,0,0.284792700199989,38.82,3.87600603045835e-15,732996,46.51,153.39,15.25,8.29,3.5498175e+21,147,360,220,16,92.49,2.01,7.54,2.5,89667553770.957,0.278335750856255
731849.826473148,41.7488,143.8725,33,8.3,0,499,0,-0.254901747450544,39.7,0,731849,41.81,143.91,27,8.24,3.0654916e+21,227.5,272,240,17,132.36,2.02,4.85,4.8,156740235788.199,0.278122707337802
728571.557612037,43.6597,147.3804,28,8.2,0,1194,0,0.228037135148436,40.68,4.58837805037566e-15,728571,43.71,147.33,48,8.32,4.0375501e+21,140,210,158,41,24.04,2.21,4.6,14,172314616165.572,0.27952031615098
735690.990826157,-19.6193,-70.7877,17.1,8.1,0,673,0,0.0830829740080805,34.856,4.49399301302075e-15,736223,-31.5952,-71.6728,29,8.23,2.9107715e+21,158.4,300,6,19,105,1.47,5.55,3.3,95922313088.8535,0.30549814513867
734045.741800347,-15.5119,-171.9369,18.5,8.1,0,805,0,0.160863790151972,30.21,2.20787542265781e-15,734045,-15.6,-172.3,18,8.06,1.6319659e+21,49.023906837653,180,342.45,57.06,290.16,1.54,3.62,70,141506841562.232,0.280830177952414
732304.624313426,-49.71,161.5761,10,8.1,0,89,0,-0.795542083570984,26.32,0,732304,-49.31,161.35,10,8.08,1.7100321e+21,25.14,245,163,69,16.31,1.89,4.01,25,81983872909.9857,0.308988920283755
733269.986787616,-13.3836,-76.5555,41.2,8,0,192,0,-0.357595760083329,35.05,2.47413306174452e-15,731025,-16.26,-73.64,33,8.38,4.8607351e+21,240,396,309.99,17.53,62.6,2.05,6.8,2.2,144570329489.601,0.276787991275869
732800.643518056,-20.1631,-174.1449,53.5,8,0,491,0,0.0501845033360899,29.82,6.67214186584568e-15,732800,-20.19,-174.12,65,7.95,1.1232917e+21,130,156,221,22.04,122.98,2.01,3.64,7.8,172821445288.877,0.279487037997594
730806.204816667,-3.975,152.182,28,8,0,1052,0,0.381118751030841,38.88,4.00997692958721e-15,730806,-3.98,152.17,33,8.07,1.6563562e+21,60,220,328.02,65,3.19,1.76,5.37,20,172821445288.877,0.279487037997594
736079.257947106,28.1302,84.7168,13.4,7.9,0,333,0,-0.0144176538515413,27.48,0,736079,28.13,84.65,15,7.82,7.1023654e+20,168,193.2,293,7,108,2.4,3.08,2.1,83508564010.143,0.242788753968348
735271.050305324,-10.864,165.1418,23.8,7.9,0,975,0,0.452142728340676,37.58,1.13226238244978e-14,735271,-10.7377,165.1378,28.7,8.03,1.4506814e+21,143,260,308,18,62,1.56,4.81,2.9,163313471943.793,0.279812683215698
730655.614041204,-13.798,97.424,10,7.9,0,26,0,-1.12188853938704,36.33,0,730655,-13.8,97.45,10,7.86,8.0369288e+20,21,192,161.3,63.48,354.5,1.99,2.63,104,85973085807.3462,0.296852747419203
736672.735259028,-10.676,161.3298,41,7.8,0,215,0,-0.100388326013236,37.16,8.89992159667762e-15,736672,-10.6741,161.3351,41,7.79,6.3605141e+20,87,133,290,50,67,2.2,2.03,10,158921290723.948,0.27847063708724
736436.99903912,0.3819,-79.9218,20.59,7.8,0,100,0,-0.432826785928841,35.34,8.28952006160126e-16,736436,0.3482,-79.972,20,7.82,7.0633008e+20,160,210,29,15,118,2.29,3.04,2.4,115086222619.087,0.273517035673407
736391.534584607,-4.9521,94.3299,24,7.8,0,20,0,-1.13179679026486,36.3,0,736391,-4.905,94.236,24,7.77,6.0159401e+20,45,250,274,84,164,1.29,3.83,12,82884630669.5999,0.309975612949579
735555.378428935,-60.3783,-46.5876,7.9,7.8,0,221,0,-0.0884345122437309,28.3,1.82555916182319e-15,735555,-60.2961,-46.362,12,7.89,8.9435565e+20,50,392,100,50,0,2.25,6.4,7.2,129139221548.996,0.287958962183203
735170.12786794,52.6777,-132.1724,7.4,7.8,0,225,0,-0.0806442678174788,29.26,1.9099593031009e-15,735170,52.742,-132.131,15,7.83,7.3267351e+20,82,252,323,30,120,1.86,3.97,4.6,97339325626.7932,0.26901342469068
734436.612756713,-3.5248,100.1042,20,7.8,0,191,0,-0.151793418681114,36.23,2.0943142961117e-15,734436,-3.464,100.084,15,7.76,5.6676184e+20,140,225,325,11.62,100,1.49,5.12,1,116008724976.315,0.273683964089024
734234.927107986,2.3601,97.1113,33.4,7.8,0,74,0,-0.563595066197865,35.84,0,734234,2.36,97.132,31,7.81,6.8406583e+20,216,240,312.7,12.04,91.74,2.14,4.42,3.6,148040207548.209,0.277853009111114
733969.390647685,-45.8339,166.6363,20.9,7.8,0,232,0,-0.0673388010379417,31.7,4.4630223133287e-15,733969,-45.76,166.56,12,7.82,7.0639667e+20,55,120,29,26,137.81,1.75,4.28,15,104712749665.71,0.271651498446573
731902.279930324,51.1032,178.6421,27.1,7.8,0,242,0,-0.0490114199484104,35.8,1.09977669439674e-14,731902,51.15,178.65,30,7.73,5.2577996e+20,162,144,280.39,18.82,121.89,2.28,3.66,1.2,137262414510.591,0.277776679507782
731169.393176042,35.927,90.587,11,7.8,0,60,0,-0.654675535545198,32.04,0,731169,35.95,90.54,10,7.84,7.4493991e+20,36.64,432,94.41,72,348.41,3.51,12.41,13,86956447859.6556,0.244466293832987
729839.133628125,-62.8257,149.6713,10,7.8,0,78,0,-0.540732183238361,22.54,0,729839,-62.88,149.53,10,8.08,1.7240405e+21,21.36,384,99,74,-18,3.4,4.69,52,103729694258.504,0.290953144683549
729025.336916204,0.6842,119.9847,15.4,7.8,0,66,0,-0.613282850386973,33.7,0,729025,0.72,119.98,16,7.82,7.0023776e+20,150,195,53,7,54,2.61,2.65,3.9,98509950893.885,0.270167481648401
728447.762233912,-10.4132,112.9264,38.9,7.8,0,251,0,-0.0331530644478035,32.22,0,728887,-5.786,154.181,30,7.7,4.59201e+20,94.4,144,320,39,9,2.19,4.25,4.8,148569376781.646,0.277636374630236
736893.982104977,54.4715,168.8148,10.99,7.7,0,99,0,-0.333156489902274,36.16,2.37385222120204e-15,736893,54.4673,168.8587,12,7.8,6.6668233e+20,61.6,375,307,72,174,2.44,6.57,3.6,154221267125.265,0.282832268780702
733360.653354051,-22.3208,-69.7803,33.6,7.7,0,169,0,-0.10090497988615,33.18,0,733360,-22.25,-69.89,40,7.68,4.334064e+20,122.5,200,358,23,98,2.35,3.87,2.7,99332462724.0499,0.254454707993982
730877.136577083,23.442,70.31,16,7.7,0,107,0,-0.299407906814614,25.58,0,730877,23.42,70.23,16,7.61,3.4296296e+20,48,140,65.59,63.73,59.84,1.8,2.49,7,93756957836.7649,0.256255548839548
730383.741161343,23.85,120.87,13.2,7.7,0,282,0,0.121457423819537,40.87,6.73147373527436e-15,730383,23.834,120.813,10,7.58,3.0437142e+20,50.85,144,3,30,57,1.32,2.92,3.7,63543073059.1697,0.241849633294346
729729.47701169,54.8043,162.0069,25.2,7.7,0,565,0,0.423256763319615,39.1,0,728996,44.62,149.32,24,7.86,8.2000641e+20,216,196,227,12,95,2.44,5.17,1.2,103368800645.002,0.286463062594098
736689.598923958,-43.4053,-73.9403,38,7.6,0,20,0,-0.923726587406824,33.62,0,736689,-43.4167,-73.8972,30,7.61,3.3952873e+20,154,120,356,16,83,2.34,2.58,7.9,131690980118.667,0.276589724810237
735701.843502083,-11.2581,162.1387,15.3,7.6,0,313,0,0.270787754475643,35.19,7.18158584634049e-15,737116,-6.035,142.908,15,7.49,2.2334766e+20,72,210,308,33,110,2.2,3.22,2.3,91023874356.7129,0.259773890237877
735112.533050232,10.8107,126.8262,44.4,7.6,0,512,0,0.484513377905026,38.96,0,735340,27.86,62.15,60,7.73,5.2373565e+20,108.3,144,232,61.7,250,2.07,3.14,6.5,154173823565.258,0.276724403775882
734690.793986921,-29.3073,-176.2572,25.4,7.6,0,347,0,0.315572891720068,31.38,4.05306327737066e-15,734690,-29.312,-176.204,20,7.55,2.7847695e+20,72,216,169.65,52.49,254.86,1.26,2.52,8.2,124574862275.794,0.290286299971267
